Model,MaxMises,MaxMises_X,MaxMises_Y,MaxS11,MaxS11_X,MaxS11_Y,MinS11,MinS11_X,MinS11_Y
\nu costante,6.813204,15.9375,5.85,-3.288926,16.6875,3.15,-6.80648,15.9375,5.85
\nu variabile,7.322358,15.9375,0.15,-3.095994,16.6875,3.15,-7.316448,15.9375,0.15
