model,max_S11,min_S11,x_at_max,xnorm_at_max,mean_S11
Sharp,-3.3686795,-4.134462,15.916666507720947,0.5464949873895604,-3.827712482142857
Linear,-3.754529,-5.089851,14.549999713897703,0.499570805627389,-4.550261261904763
Exponential,-3.5112336,-4.6379485,17.0,0.5836909871244635,-4.192198509523809
Power n=0.5,-3.9467657,-5.1394897,13.950000286102297,0.47896996690479987,-4.677360377380952
Power n=2,-3.5283287,-4.8129287,15.75,0.5407725321888412,-4.2936309999999995
